,lat,lon,pttid,time
257,25.7659,138.552,300234063948880,2018-09-30 18:00:00
258,25.7678,138.534,300234063948880,2018-09-30 19:00:00
259,25.7722,138.511,300234063948880,2018-09-30 20:02:00
260,25.7787,138.491,300234063948880,2018-09-30 21:02:00
261,25.7838,138.471,300234063948880,2018-09-30 22:00:00
262,25.7925,138.452,300234063948880,2018-09-30 23:00:00
263,25.8019,138.433,300234063948880,2018-10-01 00:01:00
264,25.811,138.413,300234063948880,2018-10-01 01:00:00
265,25.8217,138.387,300234063948880,2018-10-01 02:00:00
266,25.8365,138.361,300234063948880,2018-10-01 03:04:00
267,-90.0,-180.0,300234063948880,2018-10-01 04:04:00
268,25.8614,138.327,300234063948880,2018-10-01 05:00:00
269,-90.0,-180.0,300234063948880,2018-10-01 06:04:00
270,25.883,138.311,300234063948880,2018-10-01 07:01:00
271,25.8915,138.307,300234063948880,2018-10-01 08:01:00
272,25.8968,138.302,300234063948880,2018-10-01 09:00:00
273,25.902,138.296,300234063948880,2018-10-01 10:00:00
274,25.9046,138.286,300234063948880,2018-10-01 11:01:00
275,25.9056,138.268,300234063948880,2018-10-01 12:00:00
276,25.906,138.249,300234063948880,2018-10-01 13:00:00
277,25.9043,138.231,300234063948880,2018-10-01 14:02:00
278,25.9053,138.216,300234063948880,2018-10-01 15:00:00
279,25.9069,138.198,300234063948880,2018-10-01 16:01:00
280,25.9061,138.176,300234063948880,2018-10-01 17:00:00
281,25.9063,138.156,300234063948880,2018-10-01 18:04:00
282,25.9046,138.134,300234063948880,2018-10-01 19:00:00
283,25.9052,138.112,300234063948880,2018-10-01 20:00:00
284,25.9096,138.09,300234063948880,2018-10-01 21:00:00
285,25.9141,138.067,300234063948880,2018-10-01 22:00:00
286,25.9171,138.046,300234063948880,2018-10-01 23:00:00
287,25.9224,138.029,300234063948880,2018-10-02 00:00:00
288,25.9266,138.013,300234063948880,2018-10-02 01:02:00
289,25.9314,137.998,300234063948880,2018-10-02 02:00:00
290,25.9362,137.978,300234063948880,2018-10-02 03:00:00
291,25.9401,137.952,300234063948880,2018-10-02 04:00:00
292,25.9461,137.927,300234063948880,2018-10-02 05:00:00
293,25.9499,137.904,300234063948880,2018-10-02 06:00:00
294,25.9582,137.888,300234063948880,2018-10-02 07:00:00
295,25.964,137.871,300234063948880,2018-10-02 08:00:00
296,25.9698,137.854,300234063948880,2018-10-02 09:04:00
297,25.9706,137.838,300234063948880,2018-10-02 10:00:00
298,25.9696,137.815,300234063948880,2018-10-02 11:04:00
299,25.9708,137.796,300234063948880,2018-10-02 12:02:00
300,25.9749,137.779,300234063948880,2018-10-02 13:00:00
301,25.9792,137.764,300234063948880,2018-10-02 14:01:00
302,25.9806,137.753,300234063948880,2018-10-02 15:00:00
303,25.982,137.743,300234063948880,2018-10-02 16:00:00
304,25.9845,137.732,300234063948880,2018-10-02 17:00:00
305,25.9852,137.72,300234063948880,2018-10-02 18:02:00
306,25.9836,137.705,300234063948880,2018-10-02 19:00:00
307,25.9775,137.689,300234063948880,2018-10-02 20:00:00
308,25.9698,137.667,300234063948880,2018-10-02 21:00:00
309,25.9675,137.647,300234063948880,2018-10-02 22:00:00
310,25.9699,137.628,300234063948880,2018-10-02 23:00:00
311,25.97,137.611,300234063948880,2018-10-03 00:00:00
312,25.9677,137.593,300234063948880,2018-10-03 01:00:00
313,25.9662,137.576,300234063948880,2018-10-03 02:00:00
314,25.9627,137.556,300234063948880,2018-10-03 03:00:00
315,25.9607,137.536,300234063948880,2018-10-03 04:00:00
316,25.9592,137.515,300234063948880,2018-10-03 05:00:00
317,25.9571,137.492,300234063948880,2018-10-03 06:00:00
318,25.9565,137.473,300234063948880,2018-10-03 07:00:00
319,25.9547,137.456,300234063948880,2018-10-03 08:00:00
320,25.9522,137.442,300234063948880,2018-10-03 09:00:00
321,25.9507,137.424,300234063948880,2018-10-03 10:00:00
322,25.9501,137.409,300234063948880,2018-10-03 11:00:00
323,25.9483,137.395,300234063948880,2018-10-03 12:00:00
324,25.9451,137.384,300234063948880,2018-10-03 13:00:00
325,25.9407,137.371,300234063948880,2018-10-03 14:01:00
326,25.9376,137.36,300234063948880,2018-10-03 15:00:00
327,25.9337,137.351,300234063948880,2018-10-03 16:00:00
328,25.9295,137.34,300234063948880,2018-10-03 17:00:00
329,25.924,137.327,300234063948880,2018-10-03 18:00:00
330,25.9156,137.315,300234063948880,2018-10-03 19:00:00
331,25.9041,137.304,300234063948880,2018-10-03 20:00:00
332,25.8941,137.287,300234063948880,2018-10-03 21:00:00
333,25.8863,137.267,300234063948880,2018-10-03 22:00:00
334,25.8792,137.248,300234063948880,2018-10-03 23:00:00
335,25.8721,137.232,300234063948880,2018-10-04 00:00:00
336,25.8646,137.215,300234063948880,2018-10-04 01:00:00
337,25.8603,137.204,300234063948880,2018-10-04 02:00:00
338,25.8509,137.187,300234063948880,2018-10-04 03:00:00
339,25.8449,137.175,300234063948880,2018-10-04 04:00:00
340,25.8387,137.162,300234063948880,2018-10-04 05:03:00
341,,,,2018-10-04 06:00:00
342,25.8226,137.141,300234063948880,2018-10-04 07:01:00
